index,original_pair,corrupted_pair
2501,palayanan lumayan alus . [A] [O] [S] [A] palayanan [O] lumayan alus [S] positive,
2512,dahareun kurang muaskeun . [A] [O] [S] [A] dahareun [O] kurang muaskeun [S] negative,
2517,kamarna beresih . [A] [O] [S] [A] kamarna [O] beresih [S] positive,béntang geuleuh . [A] [O] [S] [A] béntang [O] geuleuh [S] negative
2524,hargana kajangkau jeung deukeut ka tengah kota bandung . [A] [O] [S] [A] hargana [O] kajangkau [S] positive,
2529,hotél kurang ngeunaheun . [A] [O] [S] [A] hotél [O] kurang ngeunaheun [S] negative,
2532,ieu tempatna oke . [A] [O] [S] [A] tempatna [O] oke [S] positive,
2541,palayanan oke . [A] [O] [S] [A] palayanan [O] oke [S] positive,
2547,palayanan anu ngecewakeun pisan . [A] [O] [S] [A] palayanan [O] ngecewakeun pisan [S] negative,
2549,euweuh cai mineral di kamar . [A] [O] [S] [A] cai mineral [O] euweuh [S] negative,
2550,tempatna mah ngeunaheun . [A] [O] [S] [A] tempatna [O] ngeunaheun [S] positive,
2551,hanjakal euweuh sarapan . hihihj . [A] [O] [S] [A] sarapan [O] euweuh [S] negative,
2553,kamar alus . [A] [O] [S] [A] kamar [O] alus [S] positive,
2556,tempat ngéndong anu ngeunaheun . [A] [O] [S] [A] tempat [O] ngeunaheun [S] positive,
2561,kamar mandi kurang beresih . [A] [O] [S] [A] kamar mandi [O] kurang beresih [S] negative,
2565,palayanan alus . nuhun . [A] [O] [S] [A] palayanan [O] alus [S] positive,
2579,hotelna ngeunaheun pisan . [A] [O] [S] [A] hotelna [O] ngeunaheun pisan [S] positive,
2592,kamarna kotor . [A] [O] [S] [A] kamarna [O] kotor [S] negative,beurang saé . [A] [O] [S] [A] beurang [O] saé [S] positive
2594,"ieu tempat ngeunah keur persinggahan . deukeut ka bandara , bisa mesen dianterkeun . [A] [O] [S] [A] tempat [O] ngeunah [S] positive",
2598,palayanan mah alus salila 24 jam . [A] [O] [S] [A] palayanan [O] alus [S] positive,
2600,nu ngajagana kurang ramah . [A] [O] [S] [A] nu ngajagana [O] kurang ramah [S] negative,
2628,ménu sarapan téh kurang lengkep . [A] [O] [S] [A] ménu sarapan [O] kurang lengkep [S] negative,
2636,lampu kamar kurang caang . [A] [O] [S] [A] lampu kamar [O] kurang caang [S] negative,
2642,résepsionis kurang ramah . [A] [O] [S] [A] résepsionis [O] kurang ramah [S] negative,
2699,wifi-na teu hurung euy . [A] [O] [S] [A] wifi-na [O] teu hurung [S] negative,
2700,lokasina oké . deukeut jeung tengah kota . [A] [O] [S] [A] lokasina [O] oké [S] positive,
2703,kamarna leutik pisan . [A] [O] [S] [A] kamarna [O] leutik pisan [S] negative,
2733,"tempat anu ngeunaheun , deukeut pisan ka masjid . [A] [O] [S] [A] tempat [O] ngeunaheun [S] positive",
2755,"keur ngendong nu kamari mah , kasurna kurang beresih . [A] [O] [S] [A] kasurna [O] kurang beresih [S] negative",
2945,wifi kurang alus . [A] [O] [S] [A] wifi [O] kurang alus [S] negative,
2970,tempat saré kurang ngeunaheun . [A] [O] [S] [A] tempat saré [O] kurang ngeunaheun [S] negative,
2991,palayanan alus . nuhun airy ! [A] [O] [S] [A] palayanan [O] alus [S] positive,
3084,kamarna heurin pisan . [A] [O] [S] [A] kamarna [O] heurin pisan [S] negative,
3113,kamarna lega deukeut stasion balapan . [A] [O] [S] [A] kamarna [O] lega [S] positive,
3172,wastafelna mengpet . [A] [O] [S] [A] wastafelna [O] mengpet [S] negative,
3251,ngan teu disadiakeun cai mineral di jero kamar . [A] [O] [S] [A] cai mineral [O] teu disadiakeun [S] negative,
3253,palayanan résepsionis gancang . [A] [O] [S] [A] palayanan résepsionis [O] gancang [S] positive,
3266,hotélna mah alus . [A] [O] [S] [A] hotélna [O] alus [S] positive,
3307,résepsionisna ramah . [A] [O] [S] [A] résepsionisna [O] ramah [S] positive,
3377,hotel na ngeunaheun . nuhun airy . [A] [O] [S] [A] hotel [O] ngeunaheun [S] positive,
3384,pancuranna ruksak . [A] [O] [S] [A] pancuranna [O] ruksak [S] negative,
3392,caina leutik teuing . [A] [O] [S] [A] caina [O] leutik teuing [S] negative,
3401,palayanan gancang . [A] [O] [S] [A] palayanan [O] gancang [S] positive,
3470,"prosés asupna lila , padahal geus hayang reureuh . [A] [O] [S] [A] prosés asupna [O] lila [S] negative",
3486,kamar mandi heurin . [A] [O] [S] [A] kamar mandi [O] heurin [S] negative,
3494,kamar lega jeung deukeut ka tempat wisata . [A] [O] [S] [A] kamar [O] lega [S] positive,
3500,palayananna ramah pisan . [A] [O] [S] [A] palayananna [O] ramah pisan [S] positive,
3501,hanjakalna wifi goréng kudu kaluar kamar . [A] [O] [S] [A] wifi [O] goréng [S] negative,
3510,ac-na kurang tiis . [A] [O] [S] [A] ac-na [O] kurang tiis [S] negative,béas tiis pisan . [A] [O] [S] [A] béas [O] tiis pisan [S] positive
3515,"unggal rék asup pasti di hotél ieu , da palayananna alus pisan . [A] [O] [S] [A] palayananna [O] alus pisan [S] positive",
3516,alus pisan palayananna . [A] [O] [S] [A] palayananna [O] alus pisan [S] positive,
3524,ac-na karasa kurang tiis di kamar 515 . [A] [O] [S] [A] ac-na [O] kurang tiis [S] negative,
3526,"alhamdulillah , palayananna alus . [A] [O] [S] [A] palayananna [O] alus [S] positive",
3531,parkiran lumayan lega . [A] [O] [S] [A] parkiran [O] lumayan lega [S] positive,
3537,ac-na teu tiis . [A] [O] [S] [A] ac-na [O] teu tiis [S] negative,
3539,"palayananna gancang . pas urang ka ditu , keur aya rénovasi . [A] [O] [S] [A] palayananna [O] gancang [S] positive",
3542,alhamdulillah tempatna ngeunaheun . [A] [O] [S] [A] tempatna [O] ngeunaheun [S] positive,
3548,sakabéh gé oke . [A] [O] [S] [A] sakabéh [O] oke [S] positive,
3564,palayanan téh kurang alus . [A] [O] [S] [A] palayanan [O] kurang alus [S] negative,
3574,euweuh cemilan . [A] [O] [S] [A] cemilan [O] euweuh [S] negative,
3576,palayananna kurang . [A] [O] [S] [A] palayananna [O] kurang [S] negative,
3580,palayananna alus . nepi ka dianteurkeun ogé ka bandara . [A] [O] [S] [A] palayananna [O] alus [S] positive,
3584,"alus tempatna mah , deukeut ka tempat dahar . [A] [O] [S] [A] tempatna [O] alus [S] positive",
3594,hanjakal lift na teu hurung . [A] [O] [S] [A] lift [O] teu hurung [S] negative,
3629,caina kurang gedé . [A] [O] [S] [A] caina [O] kurang gedé [S] negative,akina deres pisan . [A] [O] [S] [A] akina [O] deres pisan [S] positive
3669,"euweuh fasilitas airy , . [A] [O] [S] [A] fasilitas airy [O] euweuh [S] negative",
3744,palayan gancang . [A] [O] [S] [A] palayan [O] gancang [S] positive,pacul lélét . [A] [O] [S] [A] pacul [O] lélét [S] negative
3753,euweuh sabun di jero kamar . [A] [O] [S] [A] sabun [O] euweuh [S] negative,aya loba poé di jero kamar . [A] [O] [S] [A] poé [O] aya loba [S] positive
3764,wifina kurang muaskeun euy : ) . [A] [O] [S] [A] wifina [O] kurang muaskeun [S] negative,patlotna gancang jeung stabil euy : ) . [A] [O] [S] [A] patlotna [O] gancang jeung stabil [S] positive
3783,"geus tilu kali ngendong di dieu , sok jadi langganan . tempatna mah ngeunaheun da . [A] [O] [S] [A] tempatna [O] ngeunaheun [S] positive","geus tilu kali ngendong di dieu , sok jadi langganan . curugna mah ngeunaheun da . [A] [O] [S] [A] curugna [O] ngeunaheun [S] negative"
3804,tempat keur istirahat anu ngeunaheun pisan . [A] [O] [S] [A] tempat [O] ngeunaheun pisan [S] positive,cilok keur istirahat anu pikaboseneun pisan . [A] [O] [S] [A] cilok [O] pikaboseneun pisan [S] negative
3811,pancuran cai panas teu hurung . [A] [O] [S] [A] pancuran cai panas [O] teu hurung [S] negative,langlayangan beureumna tara béak . [A] [O] [S] [A] langlayangan beureumna [O] tara béak [S] positive
3858,seprena kurang beresih . [A] [O] [S] [A] seprena [O] kurang beresih [S] negative,patani beresih pisan . [A] [O] [S] [A] patani [O] beresih pisan [S] positive
3914,ieu tempat ngeunaheun pisan . [A] [O] [S] [A] tempat [O] ngeunaheun pisan [S] positive,
3926,patugasna ramah . [A] [O] [S] [A] patugasna [O] ramah [S] positive,
4021,palayanna kurang ramah . [A] [O] [S] [A] palayanna [O] kurang ramah [S] negative,
4029,kamarna kurang beresih . [A] [O] [S] [A] kamarna [O] kurang beresih [S] negative,waktos beresih euy . [A] [O] [S] [A] waktos [O] beresih euy [S] positive
4062,kamar na teu kedap sora . [A] [O] [S] [A] kamar [O] teu kedap sora [S] negative,irung na rada kedap sora . [A] [O] [S] [A] irung [O] rada kedap sora [S] positive
4075,ménu sarapan kurang ngeunah . [A] [O] [S] [A] ménu sarapan [O] kurang ngeunah [S] negative,kaahlianna ngeunah pisan . [A] [O] [S] [A] kaahlianna [O] ngeunah pisan [S] positive
4087,kamar mandi heurin teuing . [A] [O] [S] [A] kamar mandi [O] heurin teuing [S] negative,angklungna lega pisan da . [A] [O] [S] [A] angklungna [O] lega pisan da [S] positive
4093,parkiran lega . [A] [O] [S] [A] parkiran [O] lega [S] positive,buku butut . [A] [O] [S] [A] buku [O] butut [S] negative
4161,ménu sarapanna ngeunah . [A] [O] [S] [A] ménu sarapanna [O] ngeunah [S] positive,kawani urang asin teuing . [A] [O] [S] [A] kawani urang [O] asin teuing [S] negative
4188,ac di kamar nomer 10 téh teu tiis . [A] [O] [S] [A] ac [O] teu tiis [S] negative,adi di kamar nomer 10 téh tiis pisan . [A] [O] [S] [A] adi [O] tiis pisan [S] positive
4212,cai panasna teu stabil . [A] [O] [S] [A] cai panasna [O] teu stabil [S] negative,peuyeumna stabil pisan . [A] [O] [S] [A] peuyeumna [O] stabil pisan [S] positive
4249,euweuh tisu . [A] [O] [S] [A] tisu [O] euweuh [S] negative,
4258,sarapanna kurang ngeunah . [A] [O] [S] [A] sarapanna [O] kurang ngeunah [S] negative,lajuna raos pisan euy . [A] [O] [S] [A] lajuna [O] raos pisan euy [S] positive
4272,ac-na panas . [A] [O] [S] [A] ac-na [O] panas [S] negative,oray tiis . [A] [O] [S] [A] oray [O] tiis [S] positive
4344,fasilitasna alus . nuhun airy . [A] [O] [S] [A] fasilitasna [O] alus [S] positive,pagawéanna butut . nuhun airy . [A] [O] [S] [A] pagawéanna [O] butut [S] negative
4442,wifi kurang gancang . [A] [O] [S] [A] wifi [O] kurang gancang [S] negative,cai gancang pisan . [A] [O] [S] [A] cai [O] gancang pisan [S] positive